NAZEV;KOD_PRACOVISTE;KOD_LEKARNY;ICZ;ICO;MESTO;ULICE;PSC;LEKARNIK_PRIJMENI;LEKARNIK_JMENO;LEKARNIK_TITUL;WWW;EMAIL;TELEFON;FAX;ERP;TYP_LEKARNY;ZASILKOVY_PRODEJ;POHOTOVOST
BENU LÈk·rna;00215899522;39995530;39653000;49621173;T·bor;SobÏslavsk· 3038;39002;DoskoËilov·;Aneta;Mgr. ;www.benu.cz;tabor.octesco@benu.cz;705 837 344;;0;Z;;
BENU LÈk·rna;00215779392;89996230;89102260;49621173;UniËov;Cukrovarsk· 440/1;78391;Malaskov·;Regina;PharmDr.;www.benu.cz;unicov.ocklokan@benu.cz;705 837 339;;0;Z;;
BENU LÈk·rna;00215836363;44995109;44103500;49621173;PlzeÚ;n·mÏstÌ Republiky 53/27;30100;LuËan;Ladislav;PharmDr.;http://www.benu.cz;plzen.namrepubliky@benu.cz;705 837 348;;0;Z;;
BENU LÈk·rna;00215492345;05995011;05995134;49621173;Praha;H·bova 3209/5b;15500;Nov·kov·;Lucie;PharmDr.;http://www.benu.cz;praha.habova@benu.cz;705 837 341;;0;Z;;
BENU LÈk·rna;00216044172;64995690;64656000;49621173;NovÈ MÏsto nad MetujÌ;T. G. Masaryka 2000;54901;äramarov·;Lucie;Mgr.;http://www.benu.cz;novemesto.tgm@benu.cz;705 837 338;;1;Z;;
BENU LÈk·rna;39640000000;39995220;39640000;49621173;T·bor;Husovo n·m. 530/5;39002;Doleûalov·;Ivana;Mgr.;http://www.benu.cz;tabor.husovonam@benu.cz;731 638 097;;1;Z;;
BENU LÈk·rna;09995034001;09995710;09995034;49621173;Praha;VysoËansk· 382/20;19000;P¯ikrylov·;Taù·na;Mgr.;http://www.benu.cz;praha.billaP9@benu.cz;731 638 086;;0;Z;;
BENU LÈk·rna;10995063001;10996080;10995063;49621173;Praha;N·kupnÌ 389/3;10200;V·lkov·;Patricia;Mgr. ;http://www.benu.cz;praha.oceuropark@benu.cz;731 638 119;;1;Z;;
BENU LÈk·rna;63337000002;63995300;63337000;49621173;Nov· Paka;KotÌkova 1817;50901;BoËkov·;Hana;Mgr.;http://www.benu.cz;novapaka.kotikova@benu.cz;731 638 079;;1;Z;;
BENU LÈk·rna;53361000001;53995420;53361000;49621173;Jablonec nad Nisou;éelivskÈho 5050/2;46605;Veleck·;Michaela;Mgr. ;http://www.benu.cz;jablonec.ocrynovka@benu.cz;731 638 035;;1;Z;;
BENU LÈk·rna;34623000000;34995300;34623000;49621173;Jind¯ich˘v Hradec;Kl·ötersk· 72;37701;HavlÌnov·;Zora;RNDr.;http://www.benu.cz;jindrhradec.klasterska@benu.cz;731 638 008;;1;Z;;
BENU LÈk·rna;00200007669;91995169;91995970;07497652;Ostrava;N·draûnÌ 1266/26;70200;Davidov·;Monika;Mgr.;http://www.benu.cz/;benu.ostrava@seznam.cz;720 200 650;;0;Z;;
BENU LÈk·rna;00200060294;76995560;76166000;49621173;Jihlava;HradebnÌ 5440/1;58601;Kubiötov·;Silvie;Mgr.;www.benu.cz;jihlava.citypark@benu.cz;731 638 158;;0;Z;;
BENU LÈk·rna;00202710013;45995360;45897000;49621173;Blovice;5. kvÏtna 664;33601;Fr˝da;Tom·ö;Mgr. ;http://www.benu.cz;blovice@benu.cz;703 462 288;;1;Z;;
BENU LÈk·rna;33317000000;33995170;33317000;49621173;»esk˝ Krumlov;Urbinsk· 236;38101;KrejËÌ Tholtov·;Michaela;Mgr.;http://www.benu.cz;ckrumlov.ockaufland@benu.cz;731 638 130;;1;Z;;
BENU LÈk·rna;00200009441;87995143;87387100;49621173;BohumÌn;9. kvÏtna 1197;73581;Samiecov·;Ren·ta;Mgr.;http://www.benu.cz;bohumin.ockaufland@benu.cz;731 638 189;;0;Z;;
BENU LÈk·rna;00203143306;04995780;04995171;49621173;Praha;Novodvorsk· 1800/136;14200;Havelkov·;Olga;Mgr.;http://www.benu.cz;praha.novoplaza@benu.cz;703 462 290;;0;Z;;
BENU LÈk·rna;00203169286;65995920;65296000;49621173;Pardubice;Jana ZajÌce 875;53012;Kvapilov·;Ren·ta;Mgr.;https://www.benu.cz/ ;pardubice.janazajice@benu.cz;703 462 284;;1;Z;;
BENU LÈk·rna;00203176652;88995477;88995039;49621173;BÌlovec;Nov· cesta 531/11;74301;ZuzaÚ·kov·;Bohdana;Mgr.;www.benu.cz;bilovec.novacesta@benu.cz;703 462 226;;0;Z;;
BENU LÈk·rna;00203176588;87995157;87375100;49621173;HavÌ¯ov;Kochova 1227/2;73601;Papuga;Petr;Mgr.;www.benu.cz;havirov.kochova@benu.cz;703 462 227;;0;Z;;
BENU LÈk·rna;86307000000;86995190;86307000;26874571;T¯inec;1. m·je 17;73961;Kajzarov·;Jana;Mgr.;;jana.kajzarova@trilek.cz;558 337 002, 558 330 219;;1;Z;;
BENU LÈk·rna;62655000000;62995580;62655000;49621173;Hlinsko;KomenskÈho 582;53901;Ad·mkov·;Radka;Mgr.;http://www.benu.cz;hlinsko.komenskeho@benu.cz;731 638 187;;1;Z;;
BENU LÈk·rna;00200851221;41995740;41649000;49621173;Cheb;Valdötejnova 1364/22;35002;Peterkov·;Ivana;PharmDr.;http://www.benu.cz;cheb.valdstejnova@benu.cz;703 462 200;;1;L;;
BENU LÈk·rna;00202232443;30995560;30995050;49621173;P¯Ìbram;Husova 622;26101;Kubj·kov·;Lada;Mgr.;www.benu.cz;pribram.ockaufland@benu.cz;703 462 248;;0;Z;;
BENU LÈk·rna;00203428890;68995470;68655000;49621173;Moravsk· T¯ebov·;ävestkov˝ sad 1704/8;57101;Mina¯Ìkov·;Michaela;Mgr. Bc.;www.benu.cz;mtrebova.ockaufland@benu.cz;703 462 296;;0;Z;;
BENU LÈk·rna;53368000000;53995480;53368000;49621173;Jablonec nad Nisou;U Kostela 4754/37;46604;Jeûek;V·clav;Mgr.;http://www.benu.cz;jablonec.ockaufland@benu.cz;731 638 180;;1;Z;;
BENU LÈk·rna;32995046000;32995230;32995046;49621173;»eskÈ BudÏjovice;Na S·dk·ch 1444;37005;Zbo¯ilov·;Martina;PharmDr.;http://www.benu.cz;cbudejovice.ockaufland@benu.cz;731 638 178;;1;Z;;
BENU LÈk·rna;03995048001;03995910;03995048;49621173;Praha;Vinohradsk· 1784/134;13000;»up·k;Maroö;Mgr.;http://www.benu.cz;praha.vinohradska@benu.cz;731 638 151;;1;Z;;
BENU LÈk·rna;57995450000;57995420;57995450;49621173;Most;Velebudick· 3270;43401;Krobov·;Zorka;Mgr.;http://www.benu.cz;most.ocalbert@benu.cz;731 638 156;;1;Z;;
BENU LÈk·rna;91995523000;91995155;91995523;49621173;Ostrava;V˝ökovick· 3086/44;70030;Janoöcov·;Martina;PharmDr.;http://www.benu.cz/;ostrava.ockaufland@benu.cz;731 638 168;;0;Z;;
BENU LÈk·rna;09995098000;09995720;09995098;49621173;Praha;Veselsk· 663;19900;Pr˘chov·;Zuzana ;PharmDr.;http://www.benu.cz;praha.ocletnany@benu.cz;703 462 201;;0;Z;;
BENU LÈk·rna;00201577322;60995720;60995036;49621173;HavlÌËk˘v Brod;BÏlohradsk· 3855;58001;SalaËov·;Eva;PharmDr. ;www.benu.cz;hbrod.ockaufland@benu.cz;703 462 246;;0;Z;;
BENU LÈk·rna;00201044333;59995680;59484000;49621173;⁄stÌ nad Labem;OkruûnÌ 3368/7;40001;Vackov·;Veronika;Mgr. ;http://www.benu.cz;usti.ockaufland@benu.cz;703 462 220;;0;Z;;
BENU LÈk·rna;00201029687;09995800;09995101;49621173;Praha;U tabulky 3091;19300;Mr·zkov·;Simona;Mgr.;http://rohlik.cz/lekarna;praha.pocernice@benu.cz, praha.pocernice@benu.cz;739024608, 739024608;;0;Z;ANO;
BENU LÈk·rna;00201057870;35995350;35630000;49621173;Humpolec;OkruûnÌ 1780;39601;Allgaier;Petra;PharmDr.;www.benu.cz;humpolec.ockaufland@benu.cz;703 462 257;;0;Z;;
BENU LÈk·rna;00200276544;27995550;27995002;49621173;MÏstec Kr·lovÈ;Prezidenta Beneöe 343;28903;Pichov·;Jitka   ;Mgr.;http://www.benu.cz;mestec.pbenese@benu.cz;703 462 206;;1;L;;
BENU LÈk·rna;00201341942;72995293;72995345;49621173;Brno;BubenÌËkova 4405/1;61500;Kab·tov·;Kate¯ina;Mgr.;https://www.benu.cz/;brno.ockaufland2@benu.cz;703 462 240;;0;Z;;
BENU LÈk·rna;00201896980;88995474;88995125;49621173;Kop¯ivnice;ätef·nikova 1410/18d;74221;Kram·¯;Radovan;Mgr.;www.benu.cz;koprivnice.ockaufland@benu.cz;703 462 247;;0;Z;;
BENU LÈk·rna;53340000000;53995110;53340000;49621173;Tanvald;PoötovnÌ 83;46841;Kladivov·;Lucie;Mgr.;http://www.benu.cz;tanvald.postovni@benu.cz;731 638 074;;1;L;;
BENU LÈk·rna;00200829850;83995370;83653000;49621173;Moravsk˝ Krumlov;Znojemsk· 235;67201;Striegler;Tom·ö;Mgr.;;mkrumlov.znojemska@benu.cz;703 462 253;;0;Z;;
BENU LÈk·rna;59882000000;59995550;59882000;49621173;⁄stÌ nad Labem;äpit·lskÈ n·mÏstÌ 3517/1b;40001;Herrmann;Arnoöt;Mgr.;http://www.benu.cz;usti.cpihranicar@benu.cz;731 638 128;;1;Z;;
BENU LÈk·rna;00214664277;68995500;68659000;49621173;Litomyöl;Smetanovo n·mÏstÌ 20;57001;B·rtov·;Marcela;Mgr.;http://www.benu.cz;litomysl.smetanovonam@benu.cz;705 837 334;;1;Z;;
BENU LÈk·rna;00214711753;65995970;65778000;49621173;Pardubice;kpt. Bartoöe 454;53009;VlËkov·;Michaela;PharmDr.;http://www.benu.cz;pardubice.kpt.bartose@benu.cz;705 837 331;;1;Z;;
BENU LÈk·rna;00215075504;72995355;72995214;49621173;Brno;Skandin·vsk· 128/2;61900;Mina¯Ìkov·;Michaela;Mgr.;https://www.benu.cz/;brno.ocavion@benu.cz;731 638 124;;0;Z;;
BENU LÈk·rna;00215919900;69995810;61646000;49621173;HostinnÈ;B. NÏmcovÈ 442;54371;Krbalov·;Lenka;PharmDr.;http://www.benu.cz;hostinne.bnemcove@benu.cz;705 837 346;;1;Z;;
BENU LÈk·rna;00215417902;39995510;39652000;49621173;BechynÏ;U Vodojemu 1005;39165;Je¯·bek;Jakub;Mgr.;www.benu.cz;bechyne.uvodojemu@benu.cz;705 837 340;;0;Z;;
BENU LÈk·rna;00215432881;44995106;44093500;49621173;PlzeÚ;N·draûnÌ 102/9;32600;Svobodov·;MarkÈta ;PharmDr.;http://www.benu.cz;plzen.nadrazni@benu.cz;705 837 329;;1;Z;;
BENU LÈk·rna;00215618340;07995590;07995054;49621173;Praha;Dukelsk˝ch hrdin˘ 471/29;17000;Smetana;Filip;PharmDr.;http://www.benu.cz;praha.dukelskychhrdinu@benu.cz;705 837 321;;0;Z;;ANO
BENU LÈk·rna;00214981927;61995610;61646000;49621173;Hradec Kr·lovÈ;N·chodsk· 198;50301;Tamborov·;Barbora ;PharmDr.;https://www.benu.cz;hkralove.nachodska@benu.cz;705 837 332;;1;Z;;
BENU LÈk·rna;00212589562;91995198;91995528;49621173;Ostrava;Alöovo n·mÏstÌ 692/3;70800;÷rhalmi;Daniela;Mgr.;www.benu.cz;ostrava.alsovonam@benu.cz;705 837 314;;0;Z;;
BENU LÈk·rna;00212819638;51995920;51491000;49621173;Varnsdorf;Praûsk· 2951;40747;VodÏrka;Ji¯Ì;Mgr.;http://www.benu.cz;varnsdorf.prazska@benu.cz;705 837 315;;0;V;;
BENU LÈk·rna;00213313665;58995690;58378000;49621173;Teplice;n·mÏstÌ Svobody 3312;41501;Drozdov·;Jana;Mgr. ;http://www.benu.cz;teplice.ocfontana@benu.cz;705837316;;1;Z;;
BENU LÈk·rna;00214127952;60995750;60995039;49621173;HavlÌËk˘v Brod;éiûkova 4450;58001;ätÏp·nkov·;Jana;PharmDr.;www.benu.cz;hbrod.stribrnydvur@benu.cz;705 837 326;;0;Z;;
BENU LÈk·rna;00214291881;46995300;46272000;49621173;N˝¯any;Masarykovo n·mÏstÌ 351;33023;VaÚkov·;Lenka;Mgr. ;http://www.benu.cz;nyrany.poliklinika@benu.cz;705837333;;0;Z;;
BENU LÈk·rna;00214363921;32995122;32848000;49621173;»eskÈ BudÏjovice;Praûsk· t¯. 2858/22;37004;Hodan;Jakub;Mgr.;www.benu.cz;cbudejovice.ocigy@benu.cz;705 837 327;;0;Z;;
BENU LÈk·rna;00200048687;36995470;36332000;49621173;PÌsek;Hradiöùsk· 2689;39701;VlËkov·;Eva;PharmDr.;www.benu.cz;pisek.galerie@benu.cz;703 462 204;;1;Z;;
BENU LÈk·rna;00000892443;38995250;38356000;49621173;VodÚany;n·m. Svobody 1;38901;Homolkov·;Hana;PharmDr.;http//:www.benu.cz;vodnany.namesti@benu.cz;731 638 127;;1;Z;;
BENU LÈk·rna;00203517712;64995650;64654000;49621173;Broumov;MÌrovÈ n·mÏstÌ 100;55001;Vesel·;Edita  ;Mgr.;https://www.benu.cz;broumov.mirovenam@benu.cz;703 462 298;;1;Z;;
BENU LÈk·rna;94352000000;94995052;94352000;49621173;ValaöskÈ Mezi¯ÌËÌ;Masarykova 873;75701;Duffek;Bohdan;Mgr.;http://www.benu.cz/;valmezirici.octesco@benu.cz;703 462 202;;0;Z;;
BENU LÈk·rna;78555000000;78995500;78555000;49621173;ProstÏjov;Olomouck· 4619/120;79601;Zdr·halov·;Marcela;Mgr.;http://www.benu.cz;prostejov.ockaufland@benu.cz;731 638 106;;1;Z;;
BENU LÈk·rna;00203203070;70995590;70666000;49621173;Kr·lÌky;VelkÈ n·mÏstÌ 3;56169;Sejtkov·;Veronika;Mgr.;www.benu.cz;kraliky.velkenamesti@benu.cz;703 462 293;;0;Z;;
BENU LÈk·rna;00203210403;25995590;25995207;49621173;Kralupy nad Vltavou;Nerudova 1093;27801;Vyhn·nkov·;Helena;Mgr.;http://www.benu.cz;kralupy.uposty@benu.cz;703462233;;0;Z;;
BENU LÈk·rna;00000893259;44995820;46248000;22799729;PlzeÚ;Rokycansk· 2656/2;30100;Kr·sn·;Ivana;PharmDr.;http://www.benu.cz;plzen.ocalbert@benu.cz;377 331 237;;1;Z;;
BENU LÈk·rna;28126000001;28995630;28126000;49621173;»estlice;ObchodnÌ 111;25101;äustov·;VladimÌra;Mgr.;http://www.benu.cz;pruhonice@benu.cz;731 638 103;;0;Z;;
BENU LÈk·rna;06995074000;06995660;06995074;49621173;Praha;Evropsk· 859/115a;16000;Mareda;Radovan;Mgr.;http://www.benu.cz;praha.veleslavin@benu.cz;731 638 196;;0;Z;;
BENU LÈk·rna;00200845646;66995470;66266000;49621173;Dobruöka;n·m. F. L. VÏka 38;51801;Kaslov·;Monika ;Mgr.  ;http://www.benu.cz ;dobruska.namesti@benu.cz;703 462 205;;1;Z;;
BENU LÈk·rna;00200850449;33995240;33312000;49621173;»esk˝ Krumlov;T. G. Masaryka 188;38101;Wybitulov·;Jitka;Mgr.;www.benu.cz;ckrumlov.poliklinika@benu.cz;703 462 237;;0;Z;;
BENU LÈk·rna;00203542765;04995005;04995175;49621173;Praha;Boûkovsk· 2967/4;14100;Holecov·;ºudmila;Mgr.;http://www.benu.cz;praha.bozkovska@benu.cz;705 837 300;;0;Z;;
BENU LÈk·rna;00201889636;39995460;39650000;49621173;SobÏslav;Petra Voka 156;39201;Hoökov·;Jana;Mgr.;www.benu.cz;sobeslav.petravoka@benu.cz;703 462 279;;0;Z;;
BENU LÈk·rna;00202715343;32995116;32995058;49621173;»eskÈ BudÏjovice;M. Hor·kovÈ 2903/1;37005;BuröÌk;Petr;PharmDr.;www.benu.cz;cbudejovice.ockaufland2@benu.cz;703 462 276;;0;Z;;
BENU LÈk·rna;00201356555;34995620;34654000;49621173;Jind¯ich˘v Hradec;J·chymova 903;37701;Hnykov·;Eva;Mgr.;www.benu.cz;jhradec.ockaufland@benu.cz;703 462 238;;0;Z;;
BENU LÈk·rna;62630000000;62995340;62630000;49621173;Chrudim;PalackÈho t¯Ìda 183;53701;Kol·¯ov·;Petra;PharmDr.;http://www.benu.cz;chrudim.palackeho@benu.cz;731 638 049;;1;L;;
BENU LÈk·rna;00203666551;82995990;82690000;49621173;ZlÌn;t¯Ìda Tom·öe Bati 398;76302;Vaöutov·;Kate¯ina;PharmDr.;www.benu.cz;zlin.octerno@benu.cz;705 837 302;;0;Z;;
BENU LÈk·rna;00203705684;44995103;44058500;49621173;PlzeÚ;Studentsk· 1921/55;32300;Linkov·;MarkÈta;PharmDr.;http://www.benu.cz;plzen.ocbilla@benu.cz;703 462 294;;0;Z;;
BENU LÈk·rna;00203721954;46995190;46268000;02674602;N˝¯any;Masarykovo n·mÏstÌ 516;33023;NesnÌdalov·;Zuzana;Mgr. ;http://www.benu.cz;nyrany.masarykovonam@benu.cz;705837305;;0;Z;;
BENU LÈk·rna;00203724295;29995901;29995065;02674602;Hostivice;»sl. arm·dy 17;25301;Petrûelkov·;Iva;PharmDr.;http://www.benu.cz;hostivice.cslarmady@benu.cz;705837310;;0;Z;;
BENU LÈk·rna;00203210531;05995001;05995086;49621173;Praha;StroupeûnickÈho 522/18;15000;Arndt;Tom·ö;PharmDr.;http://www.benu.cz;praha.stroupeznickeho2@benu.cz;703462232;;0;Z;;
BENU LÈk·rna;00203141321;61995990;61599000;49621173;Hradec Kr·lovÈ;Kutnohorsk· 226;50004;Trpkoöov·;Jana ;PharmDr.;https://www.benu.cz;hkralove.ockukleny@benu.cz;703 462 287;;1;Z;;
BENU LÈk·rna;00201674784;32995113;32995057;49621173;»eskÈ BudÏjovice;M. Hor·kovÈ 1498;37005;Zmekov·;Zuzana;PharmDr.;www.benu.cz;cbudejovice.occtyridvory@benu.cz;703 462 267;;0;Z;;
BENU LÈk·rna;00204598766;91995197;91995527;49621173;Ostrava;V˝ökovick· 2637/114;70030;Kantor;Hana;PharmDr.;www.benu.cz;ostrava.ockotva2@benu.cz;705 837 313;;0;Z;;
BENU LÈk·rna;07995024001;07995490;07995024;49621173;Praha;Frantiöka K¯Ìûka 683/22;17000;LuËan;Ladislav;PharmDr.;http://www.benu.cz;praha.frkrizka@benu.cz;731638010;;0;Z;;ANO
BENU LÈk·rna;94350000000;94995049;94350000;49621173;ValaöskÈ Mezi¯ÌËÌ;U N·kladnÌho n·draûÌ 848;75701;»ernochov·;Lenka;Mgr.;http://www.benu.cz/;valmezirici.ockaufland@benu.cz;731 638 181;;0;Z;;
BENU LÈk·rna;00200850031;57995460;57995416;49621173;Most;t¯. Budovatel˘ 2957/108;43401;NÏmeËkov·;Jaroslava;Mgr.;http://www.benu.cz;most.budovatelu@benu.cz;703 462 224;;0;Z;;
BENU LÈk·rna;86386100000;86995892;86386100;49621173;Fr˝dek-MÌstek;Na P¯ÌkopÏ 3727;73801;Spratkov·;NaÔa;Mgr.;http://www.benu.cz/;frydek.ocfryda@benu.cz;731 638 185;;1;Z;;
BENU LÈk·rna;00201094540;72995284;72995337;49621173;Brno;Trnkova 3118/119c;62800;Hrazdilov·;Eva;PharmDr.;http://www.benu.cz;brno.rohlik@benu.cz;734 838 819;;0;Z;ANO;
BENU LÈk·rna;00202163232;91995186;91995525;49621173;Ostrava;Jantarov· 3344/4;70200;Opekarov·;Svatava;Mgr.;www.benu.cz;ostrava.novakarolina@benu.cz;703 462 266;;0;Z;;
BENU LÈk·rna;00203210492;04995001;04995106;49621173;Praha;Na Pankr·ci 1727/86;14000;Krupov·;KristÌna;PharmDr.;http://www.benu.cz;praha.arkady@benu.cz;703462235;;0;Z;;
BENU LÈk·rna;00200089262;72995266;72995326;49621173;Brno;Medl·neck· 2286/3;62100;Strnadov·;Alena;Mgr.;https://www.benu.cz/;brno.reckovice@benu.cz;703 462 216;;1;Z;;
BENU LÈk·rna;29995021001;29995780;29995021;49621173;Dob¯ichovice;PalackÈho 541;25229;Cep·kov·;Lenka;PharmDr.;http://www.benu.cz;dobrichovice@benu.cz;731638100;;0;Z;;
BENU LÈk·rna;09995041000;09995340;09995041;49621173;Praha;Chlumeck· 765/6;19800;Baumgartnerov·;Iveta;PharmDr.;http://www.benu.cz;praha.occernymost@benu.cz;731 638 011;;1;Z;;
BENU LÈk·rna;61540000001;61995870;61540000;49621173;Hradec Kr·lovÈ;Foerstrova 1655/1;50002;Pichlov·;Jitka;Mgr.;http://www.benu.cz;hradec.foerstrova@benu.cz;731 638 193;;1;Z;;
BENU LÈk·rna;00201385900;69995760;69662000;49621173;Trutnov;Horsk· 647;54102;Bartoö;Luk·ö;PharmDr.;http://www.benu.cz;trutnov.ockaufland@benu.cz;703 462 209;;1;Z;;
BENU LÈk·rna;00201451386;88995472;88995124;49621173;Nov˝ JiËÌn;B. Martin˘ 2097/30;74101;äablatura;Michal;PharmDr.;;njicin.ockaufland@benu.cz;703 462 249;;0;Z;;
BENU LÈk·rna;00200089097;06995690;06995077;49621173;Praha;BÏlohorsk· 2426/205;16900;PopadiËov·;L˝dia ;Mgr. ;http://www.benu.cz;praha.ockaufland2@benu.cz;703 462 208;;0;Z;;
BENU LÈk·rna;00201129642;34995610;34653000;49621173;T¯eboÚ;Jir·skova 1315;37901;Faktorov·;Michaela;PharmDr;www.benu.cz;trebon.ockaufland@benu.cz;703 462 251;;0;Z;;
BENU LÈk·rna;42033000000;42995070;42033000;49621173;Karlovy Vary;n·mÏstÌ Dr. M. Hor·kovÈ 1313/8;36001;Mokr·;Kate¯ina;Mgr.;http://www.benu.cz;kvary.horakove@benu.cz;731 638 013;;1;Z;;
BENU LÈk·rna;00201108960;27995590;27995005;49621173;Nymburk;KolÌnsk· 2507;28802;KovaËov·    ;Kate¯ina;PharmDr.;http://www.benu.cz ;nymburk.ockaufland@benu.cz;703 462 222;;1;Z;;
BENU LÈk·rna;51443000000;51995810;51443000;49621173;Rumburk;N·mÏstÌ LuûickÈ 102/7;40801;Koötejnov·;Hana;Mgr.;http://www.benu.cz;rumburk.luznam@benu.cz;731638169;;1;Z;;
BENU LÈk·rna;69636000000;69995020;69636000;49621173;Dv˘r Kr·lovÈ nad Labem;n·mÏstÌ T. G. Masaryka 56;54401;äremrov·;Ludmila;PharmDr.;http://www.benu.cz;dvurkralove.tgmasaryka@benu.cz;731 638 132;;1;Z;;
BENU LÈk·rna;50941000000;50995150;50941000;49621173;Str·û pod Ralskem;Pion˝r˘ 161;47127;Herynkov·;Lenka;Mgr.;http://www.benu.cz;straz.pionyru@benu.cz;731 638 003;;1;Z;;
BENU LÈk·rna;00202193782;10995190;10995097;49621173;Praha;K d·lnici 434;10400;Klabanov·;Veronika;Mgr.;http://www.benu.cz;kreslice.ockaufland@benu.cz;703 462 259;;0;Z;;
BENU LÈk·rna;00200679749;85995377;85260000;07497652;Brunt·l;K. »apka 84/6;79201;Hermanov·;Kate¯ina;PharmDr;;benu.bruntal@seznam.cz;552 306 808;;0;Z;;
BENU LÈk·rna;00200845538;66995460;66305000;49621173;T˝niötÏ nad OrlicÌ;MÌrovÈ n·m. 88;51721;Gabalcov·;Tereza;Mgr.;http://www.benu.cz ;tyniste.namesti@benu.cz;703 462 236;;1;Z;;
BENU LÈk·rna;00201341906;72995292;72995344;49621173;Brno;SportovnÌ 594/21;61200;Mr·zkov·;Lada;Mgr.;https://www.benu.cz/;brno.ockaufland3@benu.cz;703 462 242;;1;Z;;
BENU LÈk·rna;00212983003;54995870;54832000;49621173;Liberec;Sousedsk· 599;46001;Bobrovov·;Zuzana;Mgr.  ;https://www.benu.cz/ ;liberec.ocgecko@benu.cz;705 837 320;;1;Z;;
